Batch_ID,Region,Distributor_ID,Drug_Category,Distributor_Credibility_Score,Active_Ingredient_Pct,Storage_Temp_Deviation,Packaging_Discrepancy_Flag,Unit_Price_Discount_Pct,Is_Counterfeit
B100923,Central,D13,Cardiac,0.84,99.3,0.6,0,0.0,0
B100924,West,D17,Antidiabetic,0.84,101.7,8.1,0,0.0,0
B100925,South,D23,Analgesic,0.75,101.6,2.3,0,4.5,0
B100926,Central,D15,Analgesic,0.8,98.8,1.9,0,8.1,0
B100927,North-East,D06,Antibiotic,0.56,99.9,0.4,0,2.9,0
B100928,Central,D15,Analgesic,0.69,100.6,1.4,0,0.0,0
B100929,Central,D08,Vaccine,0.69,100.9,0.2,0,14.5,0
B100930,North-East,D24,Antidiabetic,0.23,103.6,2.6,0,13.3,0
B100931,North,D10,Analgesic,0.81,99.9,2.7,0,3.9,0
B100932,West,D17,Antibiotic,0.63,102.6,1.8,0,13.0,0
B100933,North,D01,Vaccine,0.68,97.4,7.2,0,14.6,0
B100934,North,D10,Antibiotic,0.81,98.6,2.5,0,0.0,0
B100935,West,D21,Antidiabetic,0.88,75.0,11.9,0,17.8,1
B100936,Central,D15,Antibiotic,0.74,100.3,0.3,0,7.6,0
B100937,West,D11,Antibiotic,0.71,101.4,1.2,0,0.0,0
B100938,South,D23,Antibiotic,0.78,94.4,18.3,0,15.1,0
B100939,West,D21,Cardiac,0.81,98.2,4.4,0,9.6,1
B100940,Central,D08,Analgesic,0.85,101.3,2.2,1,0.0,0
B100941,Central,D13,Analgesic,0.82,101.2,2.2,0,10.8,0
B100942,North-East,D12,Vaccine,0.62,97.4,2.5,0,9.3,0
B100943,Central,D15,Antibiotic,0.65,101.7,1.3,1,11.8,0
B100944,Central,D08,Antidiabetic,0.67,100.0,4.0,1,0.0,0
B100945,North-East,D06,Antibiotic,0.61,101.3,2.8,0,,0
B100946,East,D22,Antibiotic,0.78,99.7,,0,1.1,0
B100947,East,D22,Analgesic,0.85,100.8,,0,6.9,0
B100948,West,D21,Antibiotic,0.89,102.4,0.0,0,0.0,0
B100949,North-East,D24,Antibiotic,0.43,99.6,7.7,0,0.2,0
B100950,North,D18,Cardiac,0.8,100.6,0.2,0,18.8,0
B100951,North-East,D19,Analgesic,0.09,102.7,0.3,0,16.1,0
B100952,North,D18,Antibiotic,0.73,99.7,3.3,0,14.8,0
B100953,West,D11,Vaccine,0.8,97.5,3.1,0,18.3,0
B100954,West,D11,Cardiac,0.76,101.5,2.7,0,0.0,0
B100955,North-East,D06,Antibiotic,0.63,103.2,0.3,0,7.6,0
B100956,Central,D15,Antibiotic,0.65,102.8,1.6,0,9.7,0
B100957,North,D07,Analgesic,0.8,101.6,6.3,0,5.3,0
B100958,North-East,D06,Analgesic,0.61,94.8,0.9,0,0.0,0
B100959,Central,D14,Antidiabetic,0.47,98.6,0.1,0,14.2,0
B100960,North,D10,Vaccine,0.79,98.7,0.3,0,12.3,0
B100961,East,D05,Antibiotic,0.59,100.1,1.2,0,3.7,0
B100962,East,D20,Analgesic,1.0,103.7,1.1,0,13.9,0
B100963,West,D21,Analgesic,0.76,97.6,3.2,0,8.9,0
B100964,East,D04,Antibiotic,0.89,104.9,2.3,0,12.4,0
B100965,North,D01,Analgesic,0.52,99.2,4.3,0,1.6,0
B100966,Central,D08,Antibiotic,0.8,98.3,6.4,0,9.7,0
B100967,East,D20,Cardiac,0.82,101.9,6.0,0,9.7,0
B100968,West,D21,Cardiac,0.8,102.0,,0,6.4,0
B100969,East,D04,Analgesic,0.77,66.1,3.6,0,41.9,1
B100970,North-East,D19,Antidiabetic,0.09,65.8,3.2,1,8.5,1
B100971,West,D03,Antidiabetic,0.74,101.1,2.4,0,,0
B100972,South,D09,Antibiotic,0.13,97.7,0.4,0,1.4,0
B100973,North-East,D24,Vaccine,0.27,91.3,4.1,1,11.8,1
B100974,East,D05,Analgesic,0.49,96.4,1.7,0,9.7,0
B100975,East,D04,Antibiotic,0.94,98.2,0.7,0,10.9,1
B100976,North,D10,Vaccine,0.86,102.3,2.8,0,5.4,0
B100977,Central,D15,Vaccine,0.65,98.7,0.3,0,0.0,0
B100978,South,D23,Antidiabetic,0.78,99.5,0.8,0,0.0,0
B100979,North-East,D24,Analgesic,0.38,74.9,0.5,0,9.5,1
B100980,Central,D02,Cardiac,0.78,102.3,3.0,0,0.3,0
B100981,East,D04,Vaccine,0.79,98.5,4.6,0,2.4,0
B100982,North-East,D19,Antibiotic,0.09,102.5,6.3,0,13.9,0
B100983,North-East,D06,Antidiabetic,0.58,102.4,0.7,0,0.0,1
B100984,East,D22,Antibiotic,0.74,99.0,,0,0.0,0
B100985,Central,D16,Antibiotic,0.09,100.1,0.3,0,13.5,0
B100986,West,D03,Vaccine,0.65,99.0,4.4,0,8.6,0
B100987,East,D20,Cardiac,1.0,89.2,4.8,0,0.0,0
B100988,East,D04,Vaccine,0.83,,0.1,0,4.9,0
B100989,North,D10,Antibiotic,0.83,99.1,6.9,0,9.2,0
B100990,Central,D13,Vaccine,0.88,100.1,0.9,0,0.3,0
B100991,North-East,D12,Antibiotic,0.79,84.5,13.9,0,0.0,0
B100992,West,D17,Antibiotic,0.78,99.8,23.1,0,0.0,0
B100993,Central,D16,Analgesic,0.25,86.3,0.8,1,35.1,1
B100994,North-East,D24,Antibiotic,0.25,100.3,1.7,0,15.3,0
B100995,North-East,D24,Vaccine,0.27,102.1,2.7,1,13.3,0
B100996,North-East,D12,Analgesic,0.66,99.2,0.7,0,16.6,0
B100997,West,D03,Cardiac,0.64,99.0,4.3,0,17.0,0
B100998,North,D18,Vaccine,0.79,97.5,26.6,0,0.0,0
B100999,North-East,D24,Vaccine,0.34,99.1,16.4,0,15.0,0
B101000,Central,D08,Antibiotic,0.71,104.3,5.9,0,8.8,0
B101001,West,D11,Antidiabetic,0.75,100.6,1.2,0,21.3,0
B101002,North,D10,Antibiotic,0.88,98.7,0.4,0,31.7,0
B101003,Central,D02,Antibiotic,0.69,97.8,1.2,0,6.6,0
B101004,Central,D16,Analgesic,0.25,96.5,3.8,0,5.9,0
B101005,Central,D08,Antibiotic,0.76,98.2,1.4,0,5.3,0
B101006,North-East,D19,Antibiotic,0.09,101.7,2.2,0,8.5,0
B101007,East,D20,Antibiotic,0.81,99.1,,0,9.6,0
B101008,East,D20,Analgesic,0.91,97.9,3.9,0,26.5,0
B101009,North,D10,Analgesic,0.86,98.1,1.6,0,9.0,0
B101010,Central,D08,Cardiac,0.86,101.4,1.1,0,5.0,0
B101011,North,D18,Cardiac,0.84,99.8,4.1,0,8.1,0
B101012,East,D20,Vaccine,1.0,98.6,3.1,0,2.2,0
B101013,North-East,D12,Antidiabetic,0.59,99.3,0.1,0,0.0,0
B101014,East,D22,Cardiac,0.76,104.9,0.0,0,7.0,0
B101015,East,D04,Cardiac,0.92,102.7,0.7,0,24.3,0
B101016,West,D21,Cardiac,0.77,103.2,0.9,0,14.2,0
B101017,West,D03,Vaccine,0.75,96.1,2.6,0,4.6,0
B101018,East,D04,Vaccine,0.89,99.7,3.4,0,10.5,0
B101019,Central,D13,Analgesic,0.89,98.6,1.6,0,25.6,0
B101020,Central,D02,Antibiotic,0.72,101.2,3.0,0,9.4,0
B101021,Central,D02,Analgesic,0.68,102.3,4.7,0,1.8,0
B101022,North,D01,Antibiotic,0.8,100.7,0.2,0,8.5,0
B101023,North,D10,Antibiotic,0.87,98.1,12.0,0,12.5,0
B101024,North-East,D19,Antidiabetic,0.12,88.0,11.2,1,26.1,1
B101025,North,D01,Cardiac,0.67,101.4,2.5,0,18.2,0
B101026,Central,D16,Analgesic,0.19,,8.5,1,35.3,1
B101027,East,D20,Vaccine,0.94,100.3,3.3,0,0.0,0
B101028,East,D04,Analgesic,0.87,100.3,3.5,0,11.3,0
B101029,East,D04,Antidiabetic,0.89,100.1,,0,10.8,0
B101030,West,D21,Cardiac,0.78,83.5,2.1,0,10.4,0
B101031,East,D20,Analgesic,0.84,101.6,0.6,0,2.1,0
B101032,Central,D13,Analgesic,0.88,,5.8,0,22.0,0
B101033,East,D20,Vaccine,0.83,100.1,1.9,0,0.4,0
B101034,West,D03,Cardiac,0.67,99.9,18.6,1,1.1,0
B101035,North,D10,Antidiabetic,0.81,99.8,0.6,0,6.4,0
B101036,North,D18,Analgesic,0.83,98.3,2.5,0,17.3,0
B101037,North-East,D06,Vaccine,0.71,98.3,,0,17.6,0
B101038,North,D18,Analgesic,0.69,101.2,3.6,0,12.5,1
B101039,North-East,D12,Analgesic,0.8,98.4,0.9,0,14.3,0
B101040,North,D18,Antidiabetic,0.79,101.8,3.2,0,0.0,0
B101041,West,D11,Cardiac,0.78,,4.2,0,0.0,0
B101042,South,D09,Vaccine,0.16,101.8,1.4,0,5.4,0
B101043,East,D05,Vaccine,0.58,101.4,0.0,0,14.2,0
B101044,East,D05,Analgesic,0.53,101.9,5.3,0,14.4,0
B101045,North,D18,Antibiotic,0.8,99.0,1.8,0,1.9,1
B101046,West,D03,Analgesic,0.57,100.9,0.4,0,1.2,0
B101047,Central,D02,Cardiac,0.74,101.6,5.0,0,16.2,0
B101048,East,D04,Cardiac,0.9,96.6,0.3,0,9.3,0
B101049,East,D04,Antibiotic,0.84,103.7,0.0,0,0.0,0
B101050,East,D20,Cardiac,1.0,105.0,2.5,0,0.1,0
B101051,North,D10,Cardiac,0.9,,1.7,0,11.4,0
B101052,North-East,D24,Vaccine,0.25,101.8,1.2,0,0.0,0
B101053,East,D04,Analgesic,0.95,101.3,2.0,0,1.1,0
B101054,Central,D16,Analgesic,0.19,95.2,2.0,1,38.3,1
B101055,West,D11,Cardiac,0.76,,8.2,0,14.1,0
B101056,North,D10,Antibiotic,0.84,102.1,,0,7.9,0
B101057,West,D21,Antibiotic,0.83,97.9,8.5,0,19.7,0
B101058,North-East,D24,Analgesic,0.13,97.7,2.2,0,5.0,0
B101059,West,D21,Antibiotic,0.82,99.1,4.9,0,6.5,0
B101060,East,D05,Analgesic,0.44,101.4,0.1,0,10.3,0
B101061,East,D05,Cardiac,0.62,98.1,1.3,0,3.6,0
B101062,Central,D16,Antibiotic,0.28,78.2,0.7,1,5.1,1
B101063,North,D07,Analgesic,0.83,99.8,2.7,0,5.5,0
B101064,North,D18,Antidiabetic,0.79,,0.0,0,2.8,0
B101065,Central,D13,Analgesic,0.81,94.6,1.7,0,7.1,1
B101066,Central,D13,Analgesic,0.83,97.7,22.8,0,3.8,0
B101067,East,D20,Analgesic,1.0,100.6,1.2,0,11.2,0
B101068,West,D17,Antibiotic,0.73,101.1,1.8,0,5.5,0
B101069,North,D01,Antibiotic,0.56,95.7,0.5,0,7.4,1
B101070,Central,D02,Cardiac,0.8,101.3,0.4,0,3.6,0
B101071,Central,D15,Vaccine,0.81,98.6,1.1,0,0.0,0
B101072,North-East,D12,Vaccine,0.76,98.2,1.8,0,21.5,0
B101073,North-East,D06,Antibiotic,0.66,100.8,1.6,0,8.3,0
B101074,North,D10,Cardiac,0.91,99.5,3.3,0,12.7,0
B101075,North,D18,Antibiotic,0.81,102.0,7.2,0,7.3,0
B101076,East,D20,Cardiac,0.81,100.8,1.0,0,20.8,0
B101077,Central,D13,Vaccine,0.87,102.8,0.3,0,,0
B101078,South,D09,Analgesic,0.28,99.0,1.4,0,2.5,0
B101079,North-East,D06,Antibiotic,0.59,102.3,,0,15.8,0
B101080,North-East,D12,Antibiotic,0.65,92.6,1.1,0,4.4,0
B101081,North,D07,Analgesic,0.72,100.1,3.0,0,2.8,0
B101082,Central,D13,Cardiac,0.81,101.1,0.3,0,4.1,0
B101083,West,D17,Antibiotic,0.89,98.0,,0,21.5,0
B101084,Central,D02,Analgesic,0.85,102.0,0.7,0,22.3,0
B101085,North,D01,Analgesic,0.7,102.5,2.3,0,10.9,0
B101086,East,D05,Antibiotic,0.54,98.9,0.1,0,9.4,0
B101087,East,D22,Analgesic,0.71,101.3,0.2,0,13.5,0
B101088,Central,D16,Antibiotic,0.23,100.6,1.1,0,10.7,0
B101089,East,D04,Analgesic,0.96,100.9,2.7,0,9.2,0
B101090,East,D22,Antibiotic,0.68,101.8,13.1,0,4.8,0
B101091,West,D11,Analgesic,0.78,101.1,2.3,0,,0
B101092,West,D11,Vaccine,0.79,99.7,4.4,0,11.5,0
B101093,South,D23,Analgesic,0.84,101.8,2.1,0,9.0,0
B101094,Central,D02,Analgesic,0.84,102.4,5.5,0,18.3,0
B101095,East,D05,Antidiabetic,0.65,98.8,2.9,0,6.2,0
B101096,Central,D14,Analgesic,0.45,100.0,0.2,0,1.5,0
B101097,East,D05,Cardiac,0.56,96.1,2.1,0,0.0,0
B101098,West,D17,Antibiotic,0.78,101.3,0.3,0,2.6,0
B101099,East,D05,Vaccine,0.49,102.7,3.2,0,0.0,0
B101100,West,D03,Antibiotic,0.71,99.4,0.0,0,16.0,0
B101101,East,D05,Analgesic,0.56,100.3,0.8,0,5.0,0
B101102,North,D10,Cardiac,0.85,99.5,4.0,0,2.6,0
B101103,East,D04,Cardiac,0.8,99.2,1.5,0,11.4,0
B101104,West,D03,Analgesic,0.66,100.5,6.1,0,21.6,0
B101105,West,D21,Analgesic,0.8,98.3,1.2,0,5.0,0
B101106,Central,D08,Antibiotic,0.71,99.5,0.3,0,0.1,0
B101107,Central,D08,Antibiotic,0.78,98.0,2.9,0,5.2,0
B101108,Central,D02,Cardiac,0.76,101.3,0.6,0,0.0,0
B101109,Central,D08,Antibiotic,0.82,100.5,,0,11.6,0
B101110,North-East,D06,Antibiotic,0.54,99.1,4.6,0,12.0,0
B101111,Central,D15,Antidiabetic,0.68,100.1,1.0,0,4.9,0
B101112,East,D05,Antidiabetic,0.62,99.5,0.5,0,0.2,0
B101113,East,D22,Analgesic,0.76,92.7,0.0,0,24.8,0
B101114,South,D23,Vaccine,0.81,99.0,,0,0.0,0
B101115,West,D03,Cardiac,0.68,101.4,,0,2.7,0
B101116,West,D03,Antibiotic,0.76,98.4,0.5,0,8.2,0
B101117,West,D03,Analgesic,0.76,101.8,6.3,0,14.0,0
B101118,Central,D15,Vaccine,0.78,102.3,1.1,0,6.9,0
B101119,West,D03,Antidiabetic,0.69,102.4,1.0,0,8.2,0
B101120,West,D21,Antidiabetic,0.78,103.2,0.0,0,12.3,0
B101121,North,D18,Cardiac,0.92,100.6,3.4,1,30.4,0
B101122,East,D20,Antibiotic,0.98,102.7,2.7,0,3.9,0
B101123,North-East,D12,Analgesic,0.63,103.6,10.1,1,4.4,0
B101124,North-East,D24,Antibiotic,0.37,97.5,3.0,0,7.2,0
B101125,North,D01,Antidiabetic,0.66,98.7,6.4,0,12.8,0
B101126,North,D10,Antibiotic,0.92,96.7,2.7,0,25.7,0
B101127,Central,D08,Antibiotic,0.85,102.3,0.9,0,7.2,0
B101128,South,D23,Cardiac,0.75,96.7,6.2,0,11.9,0
B101129,Central,D14,Analgesic,0.5,96.1,8.9,0,0.0,0
B101130,East,D20,Cardiac,0.98,97.6,1.7,0,8.5,0
B101131,East,D04,Antibiotic,1.0,96.2,3.5,0,7.9,0
B101132,North-East,D24,Cardiac,0.24,93.7,5.0,0,15.1,0
B101133,North-East,D12,Antibiotic,0.74,97.6,1.4,1,4.4,1
B101134,North-East,D12,Antibiotic,0.66,96.3,1.3,0,0.0,0
B101135,South,D23,Analgesic,0.73,99.9,16.0,0,9.6,0
B101136,South,D09,Antibiotic,0.24,88.7,3.2,1,21.0,1
B101137,North,D10,Analgesic,0.84,95.9,9.8,0,2.4,0
B101138,Central,D14,Antibiotic,0.4,98.4,1.3,0,8.4,0
B101139,West,D03,Antibiotic,0.71,99.8,7.4,0,0.0,0
B101140,Central,D08,Cardiac,0.82,99.2,,0,6.2,0
B101141,East,D05,Antibiotic,0.54,99.3,4.0,0,19.1,0
B101142,West,D03,Cardiac,0.66,102.6,8.7,0,0.0,0
B101143,West,D21,Cardiac,0.82,104.7,1.7,0,3.2,0
B101144,Central,D14,Antibiotic,0.46,99.3,2.0,0,12.1,0
B101145,Central,D08,Cardiac,0.77,97.1,3.3,0,13.7,0
B101146,North,D10,Vaccine,0.9,99.5,1.4,0,8.4,0
B101147,North,D10,Vaccine,0.85,100.4,2.9,0,6.7,0
B101148,Central,D15,Antibiotic,0.63,99.9,,0,,0
B101149,East,D22,Cardiac,0.74,101.3,0.1,0,9.5,0
B101150,South,D23,Analgesic,0.81,104.9,,0,0.6,0
B101151,North,D10,Analgesic,0.9,96.2,0.7,0,8.8,0
B101152,Central,D08,Antidiabetic,0.84,98.9,4.5,0,7.1,0
B101153,West,D11,Vaccine,0.86,103.4,2.2,0,4.9,0
B101154,Central,D13,Antidiabetic,0.88,86.8,0.1,0,0.0,0
B101155,West,D11,Cardiac,0.8,90.4,2.3,1,21.5,1
B101156,Central,D16,Antidiabetic,0.1,101.4,0.0,0,12.1,0
B101157,Central,D13,Antidiabetic,0.9,102.7,0.5,0,13.3,0
B101158,Central,D08,Antidiabetic,0.69,104.2,2.4,0,8.1,0
B101159,Central,D08,Antibiotic,0.76,100.7,2.2,0,8.2,0
B101160,South,D09,Cardiac,0.43,65.8,15.3,1,15.7,1
B101161,West,D03,Cardiac,0.71,98.5,2.8,0,14.8,0
B101162,East,D04,Analgesic,0.8,104.8,5.4,0,0.0,0
B101163,North,D18,Vaccine,0.83,96.9,3.6,0,4.4,0
B101164,South,D09,Antidiabetic,0.21,101.1,0.4,0,2.4,0
B101165,East,D05,Antibiotic,0.47,99.5,4.1,0,7.2,0
B101166,Central,D13,Analgesic,1.0,97.0,0.7,0,17.2,0
B101167,North,D18,Analgesic,0.87,102.0,1.4,0,0.0,0
B101168,North-East,D06,Antibiotic,0.62,100.1,0.9,0,10.0,0
B101169,East,D20,Cardiac,0.91,99.2,4.1,0,10.1,0
B101170,South,D23,Antibiotic,0.79,98.2,2.4,0,1.3,0
B101171,Central,D14,Cardiac,0.55,95.6,0.9,0,6.7,0
B101172,Central,D16,Cardiac,0.21,101.5,0.1,0,1.7,0
B101173,Central,D02,Vaccine,0.55,99.4,2.7,1,8.7,0
B101174,South,D23,Cardiac,0.95,,0.5,0,7.2,0
B101175,North,D10,Antibiotic,0.85,100.1,3.2,0,18.5,0
B101176,East,D22,Cardiac,0.79,101.3,6.6,0,2.6,0
B101177,Central,D14,Antidiabetic,0.53,99.6,4.3,0,6.8,0
B101178,North,D01,Antibiotic,0.72,100.3,1.9,0,5.4,0
B101179,North,D01,Cardiac,0.74,100.1,0.5,0,17.5,0
B101180,West,D17,Analgesic,0.75,98.4,1.1,0,4.6,0
B101181,Central,D13,Analgesic,0.8,100.1,4.9,0,1.8,0
B101182,North,D01,Cardiac,0.71,101.6,1.8,0,2.6,0
B101183,North,D18,Analgesic,0.89,102.3,0.5,0,2.5,0
B101184,West,D21,Analgesic,0.79,101.7,,0,3.9,0
B101185,North-East,D12,Antibiotic,0.61,98.5,1.8,0,2.0,0
B101186,West,D11,Vaccine,0.83,101.4,2.8,0,8.1,1
B101187,North,D01,Antidiabetic,0.67,101.0,0.3,0,0.0,0
B101188,North-East,D19,Antibiotic,0.08,81.4,0.2,0,14.7,1
B101189,Central,D08,Analgesic,0.74,99.0,2.8,0,8.3,0
B101190,West,D21,Antibiotic,0.82,101.5,0.9,0,19.4,0
B101191,South,D09,Cardiac,0.15,103.0,2.4,0,11.3,0
B101192,Central,D13,Analgesic,0.84,,,0,10.6,0
B101193,North-East,D06,Analgesic,0.61,103.6,0.7,0,22.1,0
B101194,East,D04,Antibiotic,0.86,102.6,1.7,0,11.0,0
B101195,North-East,D19,Analgesic,0.17,54.1,11.4,1,27.5,1
B101196,North-East,D12,Antidiabetic,0.77,99.5,0.7,0,1.9,0
B101197,Central,D13,Analgesic,0.96,100.9,5.9,0,18.2,0
B101198,South,D23,Analgesic,0.86,98.6,6.1,0,0.9,0
B101199,South,D23,Cardiac,0.8,99.6,0.1,0,0.0,0
B101200,West,D21,Vaccine,0.79,96.8,0.2,0,0.1,0
B101201,East,D05,Analgesic,0.52,96.2,12.0,0,2.7,0
B101202,Central,D14,Vaccine,0.5,105.1,0.0,0,8.3,0
B101203,West,D21,Antibiotic,0.88,100.1,4.1,0,6.2,0
B101204,South,D09,Cardiac,0.28,100.4,1.9,0,11.7,0
B101205,West,D03,Antidiabetic,0.68,99.9,1.4,0,0.4,0
B101206,East,D20,Antidiabetic,0.98,98.2,3.5,0,1.9,0
B101207,West,D11,Antidiabetic,0.83,99.3,3.4,0,9.1,0
B101208,Central,D13,Analgesic,0.93,100.2,2.2,0,1.3,0
B101209,North-East,D24,Vaccine,0.29,99.6,6.8,0,0.0,0
B101210,Central,D15,Analgesic,0.67,98.3,1.6,0,0.0,0
B101211,North,D10,Antidiabetic,0.78,101.1,5.6,0,7.7,0
B101212,South,D09,Cardiac,0.2,100.4,,0,7.5,1
B101213,North,D10,Analgesic,0.85,100.9,1.9,0,7.2,1
B101214,West,D03,Cardiac,0.72,101.6,2.5,0,16.5,0
B101215,East,D20,Cardiac,0.85,99.6,,0,10.1,0
B101216,West,D21,Antidiabetic,0.8,99.6,3.1,0,8.0,0
B101217,North,D07,Cardiac,0.8,103.3,0.1,0,17.4,0
B101218,North,D07,Analgesic,0.73,97.9,2.0,0,14.8,0
B101219,West,D21,Vaccine,0.85,95.9,0.2,0,2.9,0
B101220,North,D01,Analgesic,0.68,101.2,0.0,0,13.8,0
B101221,North-East,D12,Vaccine,0.62,98.6,0.3,0,,0
B101222,West,D11,Antidiabetic,0.76,97.6,1.2,0,20.4,0
B101223,West,D17,Analgesic,0.8,101.9,8.5,0,14.8,0
B101224,East,D04,Analgesic,0.8,99.7,,0,10.7,0
B101225,Central,D16,Vaccine,0.17,,,0,50.8,1
B101226,South,D09,Analgesic,0.27,104.3,16.0,0,18.2,0
B101227,Central,D15,Analgesic,0.67,96.5,0.6,0,0.0,0
B101228,North,D01,Antibiotic,0.6,99.8,1.1,0,16.9,0
B101229,West,D11,Antidiabetic,0.66,95.8,31.0,0,8.9,0
B101230,North-East,D12,Vaccine,0.63,100.6,0.4,0,1.5,0
B101231,East,D05,Analgesic,0.44,98.6,0.9,0,0.0,0
B101232,East,D04,Antibiotic,0.83,101.8,2.4,0,0.0,0
B101233,East,D05,Analgesic,0.62,100.0,0.5,0,12.0,0
B101234,Central,D08,Cardiac,0.68,103.0,0.6,0,21.5,0
B101235,West,D03,Antidiabetic,0.67,99.1,,0,4.5,0
B101236,South,D23,Antibiotic,0.93,96.5,,0,2.0,0
B101237,North,D10,Antidiabetic,0.86,100.5,1.1,0,16.5,0
B101238,East,D20,Cardiac,0.91,99.4,0.9,0,8.8,0
B101239,North-East,D24,Vaccine,0.28,96.0,2.7,0,16.8,0
B101240,Central,D02,Antibiotic,0.77,97.7,4.9,0,1.2,0
B101241,Central,D16,Vaccine,0.29,98.4,3.7,0,12.6,0
B101242,West,D21,Antidiabetic,0.8,103.4,2.9,0,20.7,0
B101243,Central,D15,Vaccine,0.67,101.6,,0,,0
B101244,North,D10,Analgesic,0.75,99.2,2.1,1,5.8,0
B101245,North,D10,Cardiac,0.84,101.0,1.9,0,5.5,0
B101246,North,D01,Antidiabetic,0.61,95.5,5.2,0,13.2,0
B101247,Central,D13,Cardiac,0.84,98.8,1.6,0,16.8,0
B101248,North-East,D24,Cardiac,0.23,100.9,1.2,0,3.2,1
B101249,South,D23,Antibiotic,0.87,100.4,5.0,0,25.5,0
B101250,North,D01,Antidiabetic,0.67,98.8,6.2,0,8.4,0
B101251,West,D17,Vaccine,0.8,99.9,,0,4.0,0
B101252,North,D07,Antibiotic,0.68,100.7,8.8,0,18.0,0
B101253,East,D22,Antidiabetic,0.78,100.0,1.4,0,9.0,0
B101254,North,D01,Antibiotic,0.62,,2.6,0,5.4,0
B101255,South,D23,Antibiotic,0.78,100.7,1.3,0,4.2,0
B101256,West,D21,Analgesic,0.96,101.1,1.2,0,22.7,1
B101257,West,D03,Vaccine,0.75,103.8,4.0,0,1.0,0
B101258,Central,D02,Antibiotic,0.73,101.8,2.8,0,15.9,0
B101259,East,D20,Analgesic,1.0,103.8,1.1,0,2.3,0
B101260,East,D04,Cardiac,0.79,98.5,0.7,0,3.6,0
B101261,Central,D13,Cardiac,0.94,,3.9,0,7.4,0
B101262,East,D22,Antibiotic,0.68,99.7,0.8,0,11.3,0
B101263,Central,D13,Analgesic,0.86,99.5,2.8,0,0.0,0
B101264,North,D10,Cardiac,0.75,103.2,1.9,1,,0
B101265,West,D11,Antibiotic,0.77,97.5,,0,15.2,0
B101266,Central,D02,Antibiotic,0.74,99.8,4.8,0,15.2,0
B101267,South,D23,Antibiotic,0.79,100.9,0.8,0,6.0,0
B101268,North,D07,Analgesic,0.85,100.2,3.3,0,0.0,0
B101269,East,D05,Antibiotic,0.49,99.6,,0,9.5,0
B101270,North,D07,Cardiac,0.8,100.8,0.3,0,13.8,0
B101271,South,D23,Antidiabetic,0.85,102.4,,0,9.3,0
B101272,West,D03,Antibiotic,0.6,103.4,11.4,0,17.8,0
B101273,West,D21,Analgesic,0.78,100.1,0.2,0,6.1,0
B101274,West,D17,Antibiotic,0.78,98.2,0.5,0,0.0,0
B101275,East,D20,Antibiotic,0.97,103.4,0.4,0,3.8,0
B101276,North-East,D24,Cardiac,0.37,97.6,0.9,0,8.0,0
B101277,West,D21,Analgesic,0.82,103.9,2.7,0,3.1,0
B101278,South,D23,Antidiabetic,0.78,103.0,3.0,0,4.4,0
B101279,West,D03,Analgesic,0.64,103.3,1.9,0,14.7,0
B101280,East,D20,Antibiotic,0.95,101.5,1.9,0,2.3,0
B101281,Central,D13,Analgesic,0.85,95.4,6.1,0,0.0,0
B101282,Central,D13,Antibiotic,0.86,97.7,4.2,0,13.7,0
B101283,East,D22,Antidiabetic,0.76,100.7,3.4,0,12.5,0
B101284,South,D23,Cardiac,0.84,98.5,11.0,0,0.7,0
B101285,West,D17,Vaccine,0.74,69.9,3.9,1,54.5,1
B101286,North-East,D12,Analgesic,0.61,101.3,1.7,0,0.1,0
B101287,West,D11,Cardiac,0.78,,1.5,0,2.9,0
B101288,South,D09,Cardiac,0.06,102.1,15.5,1,38.4,1
B101289,Central,D08,Antibiotic,0.72,101.9,8.7,0,4.8,0
B101290,North,D10,Antibiotic,0.77,101.1,0.6,0,11.9,0
B101291,Central,D02,Antibiotic,0.81,99.5,1.6,0,9.9,0
B101292,Central,D02,Vaccine,0.71,101.6,0.0,0,2.3,0
B101293,North-East,D19,Analgesic,0.07,100.2,2.0,0,9.3,0
B101294,West,D11,Antibiotic,0.75,102.9,1.1,0,10.7,0
B101295,South,D23,Analgesic,0.77,100.3,0.6,0,14.7,0
B101296,Central,D15,Analgesic,0.69,102.9,,0,10.5,0
B101297,North,D01,Antibiotic,0.7,95.9,4.4,0,13.2,0
B101298,East,D04,Antidiabetic,0.82,101.0,1.9,0,8.5,0
B101299,East,D05,Analgesic,0.5,99.1,4.0,1,2.3,0
B101300,North-East,D24,Vaccine,0.23,98.1,0.6,0,9.1,0
B101301,East,D05,Analgesic,0.45,102.5,0.6,0,16.5,0
B101302,North-East,D12,Vaccine,0.66,102.0,0.0,0,16.9,0
B101303,South,D23,Antidiabetic,0.82,95.6,0.9,0,0.0,0
B101304,North-East,D24,Analgesic,0.2,101.6,5.6,0,12.4,0
B101305,North-East,D06,Analgesic,0.64,60.2,6.2,1,18.2,1
B101306,Central,D02,Antidiabetic,0.79,98.4,0.8,0,10.8,0
B101307,East,D04,Cardiac,0.91,98.2,0.2,0,0.0,1
B101308,Central,D02,Cardiac,0.76,77.5,2.6,0,36.1,1
B101309,East,D05,Antibiotic,0.56,99.3,0.5,0,0.0,0
B101310,Central,D13,Antibiotic,1.0,99.6,1.3,0,5.0,0
B101311,East,D22,Cardiac,0.75,101.8,2.4,0,12.3,0
